Usertext,Categoria,Descricao_Problema,Solucoes
"Cheiro queimado",sistema freios,"cheiro queimado","Verificar sistema de freios"
"Desempenho irregular na aceleração",sistema ignição,"desempenho aceleração irregular","Checar sistema de ignição"
"Problemas no ar condicionado",compressor ar condicionado,"problemas sistema ar condicionado","Verificar compressor de ar condicionado"
"Vazamento de combustível",linha combustível,"vazamento combustível","Checar linha de combustível"
"Barulho ao girar volante",caixa direção,"barulho rotação girar volante","Verificar caixa de direção"
"Carro treme ao dirigir alta velocidade",pneus,"carro treme dirigir alta velocidade","Verificar pneus"
"Luz de manutenção acesa",sistema escapamento,"luz manutenção acesa","Checar sistema de escapamento"
"Falha no sistema de arrefecimento",termostato,"falha sistema arrefecimento","Verificar termostato"
"Carro puxa para o lado ao frear",freios,"carro puxa lado durante frenagem","Verificar freios"
"Fumaça preta pelo escapamento",injetores,"fumaça preta escapamento","Checar injetores"
"Problemas na direção hidráulica",bomba direção hidráulica,"problemas direção hidráulica","Verificar bomba direção hidráulica"
"Carro mantém marcha engatada",embreagem,"carro retém marcha","Verificar embreagem"
"Ruído constante ao acelerar",polias,"ruído constante acelerar","Checar polias"
